Date : 2024-09-20 17:15:04
Directory : /Users/maythamajam/Workspace/guideway
Total : 157 files,  25305 codes, 242 comments, 1404 blanks, all 26951 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     12,995 |          0 |          3 |     12,998 |
| TypeScript JSX     |        101 |      8,995 |        107 |        875 |      9,977 |
| TypeScript         |         36 |      2,315 |         95 |        432 |      2,842 |
| CSS                |          1 |        564 |          0 |         35 |        599 |
| Prisma             |          1 |        174 |          7 |         35 |        216 |
| XML                |          9 |        118 |          0 |          8 |        126 |
| JavaScript         |          5 |        109 |         29 |         12 |        150 |
| JSON with Comments |          1 |         35 |          4 |          4 |         43 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |        157 |     25,305 |        242 |      1,404 |     26,951 |
| . (Files)                                                                                                                      |         10 |     13,185 |         11 |         19 |     13,215 |
| prisma                                                                                                                         |          1 |        174 |          7 |         35 |        216 |
| public                                                                                                                         |          9 |        118 |          0 |          8 |        126 |
| src                                                                                                                            |        137 |     11,828 |        224 |      1,342 |     13,394 |
| src (Files)                                                                                                                    |          1 |         32 |         22 |          4 |         58 |
| src/actions                                                                                                                    |         16 |      1,295 |         35 |        250 |      1,580 |
| src/actions (Files)                                                                                                            |          2 |        391 |         11 |         93 |        495 |
| src/actions/dashboard                                                                                                          |         14 |        904 |         24 |        157 |      1,085 |
| src/actions/dashboard (Files)                                                                                                  |         10 |        694 |         13 |        121 |        828 |
| src/actions/dashboard/group                                                                                                    |          4 |        210 |         11 |         36 |        257 |
| src/actions/dashboard/group (Files)                                                                                            |          1 |         44 |          0 |          7 |         51 |
| src/actions/dashboard/group/settings                                                                                           |          3 |        166 |         11 |         29 |        206 |
| src/app                                                                                                                        |         51 |      4,519 |         20 |        366 |      4,905 |
| src/app (Files)                                                                                                                |          2 |         70 |          5 |         10 |         85 |
| src/app/(protected)                                                                                                            |         35 |      3,591 |         12 |        251 |      3,854 |
| src/app/(protected)/dashboard                                                                                                  |         35 |      3,591 |         12 |        251 |      3,854 |
| src/app/(protected)/dashboard (Files)                                                                                          |          2 |        125 |          0 |         21 |        146 |
| src/app/(protected)/dashboard/_components                                                                                      |          5 |        851 |          1 |         47 |        899 |
| src/app/(protected)/dashboard/groups                                                                                           |         21 |      2,260 |          9 |        146 |      2,415 |
| src/app/(protected)/dashboard/groups (Files)                                                                                   |          1 |          5 |          0 |          3 |          8 |
| src/app/(protected)/dashboard/groups/[id]                                                                                      |         14 |      1,356 |          5 |         90 |      1,451 |
| src/app/(protected)/dashboard/groups/[id] (Files)                                                                              |          1 |        107 |          1 |          9 |        117 |
| src/app/(protected)/dashboard/groups/[id]/_components                                                                          |         13 |      1,249 |          4 |         81 |      1,334 |
| src/app/(protected)/dashboard/groups/[id]/_components (Files)                                                                  |          7 |        694 |          4 |         52 |        750 |
| src/app/(protected)/dashboard/groups/[id]/_components/post                                                                     |          6 |        555 |          0 |         29 |        584 |
| src/app/(protected)/dashboard/groups/[id]/_components/post (Files)                                                             |          4 |        393 |          0 |         18 |        411 |
| src/app/(protected)/dashboard/groups/[id]/_components/post/comment                                                             |          2 |        162 |          0 |         11 |        173 |
| src/app/(protected)/dashboard/groups/settings                                                                                  |          6 |        899 |          4 |         53 |        956 |
| src/app/(protected)/dashboard/groups/settings/[id]                                                                             |          6 |        899 |          4 |         53 |        956 |
| src/app/(protected)/dashboard/groups/settings/[id] (Files)                                                                     |          1 |         58 |          1 |          7 |         66 |
| src/app/(protected)/dashboard/groups/settings/[id]/_components                                                                 |          5 |        841 |          3 |         46 |        890 |
| src/app/(protected)/dashboard/settings                                                                                         |          7 |        355 |          2 |         37 |        394 |
| src/app/(protected)/dashboard/settings (Files)                                                                                 |          1 |         54 |          0 |          6 |         60 |
| src/app/(protected)/dashboard/settings/components                                                                              |          6 |        301 |          2 |         31 |        334 |
| src/app/(protected)/dashboard/settings/components/appearance                                                                   |          6 |        301 |          2 |         31 |        334 |
| src/app/(protected)/dashboard/settings/components/appearance (Files)                                                           |          3 |        254 |          2 |         16 |        272 |
| src/app/(protected)/dashboard/settings/components/appearance/_actions                                                          |          3 |         47 |          0 |         15 |         62 |
| src/app/api                                                                                                                    |          1 |         18 |          0 |          6 |         24 |
| src/app/api/getUserRole                                                                                                        |          1 |         18 |          0 |          6 |         24 |
| src/app/auth                                                                                                                   |         12 |        629 |          3 |         86 |        718 |
| src/app/auth (Files)                                                                                                           |          1 |          8 |          0 |          2 |         10 |
| src/app/auth/error                                                                                                             |          1 |         43 |          1 |         10 |         54 |
| src/app/auth/forgot-password                                                                                                   |          1 |        107 |          1 |          6 |        114 |
| src/app/auth/google                                                                                                            |          2 |        146 |          0 |         25 |        171 |
| src/app/auth/google (Files)                                                                                                    |          1 |         26 |          0 |          5 |         31 |
| src/app/auth/google/callback                                                                                                   |          1 |        120 |          0 |         20 |        140 |
| src/app/auth/login                                                                                                             |          1 |          9 |          0 |          2 |         11 |
| src/app/auth/logout                                                                                                            |          1 |         33 |          0 |          7 |         40 |
| src/app/auth/oauth                                                                                                             |          2 |        143 |          0 |         19 |        162 |
| src/app/auth/password-reset                                                                                                    |          1 |        127 |          1 |         10 |        138 |
| src/app/auth/register                                                                                                          |          1 |          8 |          0 |          2 |         10 |
| src/app/auth/verify                                                                                                            |          1 |          5 |          0 |          3 |          8 |
| src/app/faq                                                                                                                    |          1 |        211 |          0 |         13 |        224 |
| src/components                                                                                                                 |         57 |      4,844 |         90 |        587 |      5,521 |
| src/components (Files)                                                                                                         |          4 |        868 |         87 |         62 |      1,017 |
| src/components/forms                                                                                                           |          6 |        545 |          0 |         45 |        590 |
| src/components/ui                                                                                                              |         47 |      3,431 |          3 |        480 |      3,914 |
| src/lib                                                                                                                        |          6 |        453 |         12 |         70 |        535 |
| src/server                                                                                                                     |          2 |         85 |         45 |         21 |        151 |
| src/stores                                                                                                                     |          3 |         36 |          0 |          9 |         45 |
| src/styles                                                                                                                     |          1 |        564 |          0 |         35 |        599 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                       | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/maythamajam/Workspace/guideway/.eslintrc.cjs                                                                            | JavaScript         |         41 |          1 |          1 |         43 |
| /Users/maythamajam/Workspace/guideway/components.json                                                                          | JSON               |         17 |          0 |          1 |         18 |
| /Users/maythamajam/Workspace/guideway/middleware.ts                                                                            | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/maythamajam/Workspace/guideway/next.config.js                                                                           | JavaScript         |         26 |          5 |          3 |         34 |
| /Users/maythamajam/Workspace/guideway/package-lock.json                                                                        | JSON               |     12,868 |          0 |          1 |     12,869 |
| /Users/maythamajam/Workspace/guideway/package.json                                                                             | JSON               |        110 |          0 |          1 |        111 |
| /Users/maythamajam/Workspace/guideway/postcss.config.cjs                                                                       | JavaScript         |          6 |          0 |          2 |          8 |
| /Users/maythamajam/Workspace/guideway/prettier.config.js                                                                       | JavaScript         |          4 |          1 |          2 |          7 |
| /Users/maythamajam/Workspace/guideway/prisma/schema.prisma                                                                     | Prisma             |        174 |          7 |         35 |        216 |
| /Users/maythamajam/Workspace/guideway/public/arrow.svg                                                                         | XML                |          3 |          0 |          1 |          4 |
| /Users/maythamajam/Workspace/guideway/public/dash.svg                                                                          | XML                |          3 |          0 |          1 |          4 |
| /Users/maythamajam/Workspace/guideway/public/logo.svg                                                                          | XML                |          1 |          0 |          0 |          1 |
| /Users/maythamajam/Workspace/guideway/public/megaphone.svg                                                                     | XML                |         18 |          0 |          1 |         19 |
| /Users/maythamajam/Workspace/guideway/public/paperplane.svg                                                                    | XML                |         18 |          0 |          1 |         19 |
| /Users/maythamajam/Workspace/guideway/public/rocket.svg                                                                        | XML                |         18 |          0 |          1 |         19 |
| /Users/maythamajam/Workspace/guideway/public/scroll.svg                                                                        | XML                |         19 |          0 |          1 |         20 |
| /Users/maythamajam/Workspace/guideway/public/tri.svg                                                                           | XML                |         19 |          0 |          1 |         20 |
| /Users/maythamajam/Workspace/guideway/public/vote.svg                                                                          | XML                |         19 |          0 |          1 |         20 |
| /Users/maythamajam/Workspace/guideway/src/actions/auth.ts                                                                      | TypeScript         |        352 |         11 |         82 |        445 |
| /Users/maythamajam/Workspace/guideway/src/actions/dashboard/create-group.ts                                                    | TypeScript         |        124 |          3 |         18 |        145 |
| /Users/maythamajam/Workspace/guideway/src/actions/dashboard/create-post.ts                                                     | TypeScript         |         69 |          2 |         13 |         84 |
| /Users/maythamajam/Workspace/guideway/src/actions/dashboard/delete-post.ts                                                     | TypeScript         |         48 |          0 |          9 |         57 |
| /Users/maythamajam/Workspace/guideway/src/actions/dashboard/group/get-user-role.ts                                             | TypeScript         |         44 |          0 |          7 |         51 |
| /Users/maythamajam/Workspace/guideway/src/actions/dashboard/group/settings/create-role.ts                                      | TypeScript         |         72 |          7 |         12 |         91 |
| /Users/maythamajam/Workspace/guideway/src/actions/dashboard/group/settings/delete-role.ts                                      | TypeScript         |         30 |          0 |          9 |         39 |
| /Users/maythamajam/Workspace/guideway/src/actions/dashboard/group/settings/update-roles.ts                                     | TypeScript         |         64 |          4 |          8 |         76 |
| /Users/maythamajam/Workspace/guideway/src/actions/dashboard/increment-view-count.ts                                            | TypeScript         |         12 |          0 |          2 |         14 |
| /Users/maythamajam/Workspace/guideway/src/actions/dashboard/join-group.ts                                                      | TypeScript         |        132 |          0 |         22 |        154 |
| /Users/maythamajam/Workspace/guideway/src/actions/dashboard/like-comment.ts                                                    | TypeScript         |         58 |          2 |         11 |         71 |
| /Users/maythamajam/Workspace/guideway/src/actions/dashboard/like-post.ts                                                       | TypeScript         |         76 |          2 |         11 |         89 |
| /Users/maythamajam/Workspace/guideway/src/actions/dashboard/pin-group.ts                                                       | TypeScript         |         50 |          4 |         13 |         67 |
| /Users/maythamajam/Workspace/guideway/src/actions/dashboard/pin-post.ts                                                        | TypeScript         |         90 |          0 |         13 |        103 |
| /Users/maythamajam/Workspace/guideway/src/actions/dashboard/post-comment.ts                                                    | TypeScript         |         35 |          0 |          9 |         44 |
| /Users/maythamajam/Workspace/guideway/src/actions/send-updates-email.ts                                                        | TypeScript         |         39 |          0 |         11 |         50 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/_components/AllGroups.tsx                                  | TypeScript JSX     |        320 |          1 |         13 |        334 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/_components/CreateGroup.tsx                                | TypeScript JSX     |        225 |          0 |         11 |        236 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/_components/JoinGroup.tsx                                  | TypeScript JSX     |        128 |          0 |         12 |        140 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/_components/Sidebar.tsx                                    | TypeScript JSX     |        156 |          0 |          8 |        164 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/_components/SidebarProfile.tsx                             | TypeScript JSX     |         22 |          0 |          3 |         25 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/[id]/_components/CreatePostButton.tsx               | TypeScript JSX     |        181 |          0 |         11 |        192 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/[id]/_components/GroupSidebar.tsx                   | TypeScript JSX     |        106 |          3 |          5 |        114 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/[id]/_components/InviteDialog.tsx                   | TypeScript JSX     |         62 |          0 |          5 |         67 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/[id]/_components/Posts.tsx                          | TypeScript JSX     |        151 |          0 |         14 |        165 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/[id]/_components/Readmore.tsx                       | TypeScript JSX     |         30 |          0 |          6 |         36 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/[id]/_components/TagsSetting.tsx                    | TypeScript JSX     |        153 |          0 |          7 |        160 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/[id]/_components/TotalPosts.tsx                     | TypeScript JSX     |         11 |          1 |          4 |         16 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/[id]/_components/post/PostActions.tsx               | TypeScript JSX     |        113 |          0 |          3 |        116 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/[id]/_components/post/PostContent.tsx               | TypeScript JSX     |         15 |          0 |          3 |         18 |
| /Users/maythamajam/Workspace/guideway/src/app/(protected)/dashboard/groups/[id]/_components/post/PostHeader.tsx                | TypeScript JSX     |         64 |          0 |          3 |         67 |
